country,city,year,pollutant,avg_value,median_value,p95_value,measurements,max_value,min_value
BA,Živinice,2019,co,424.0,424.0,424.0,1,424.0,424.0
BA,Živinice,2019,no2,7.5,7.5,7.5,1,7.5,7.5
BA,Živinice,2019,o3,22.8,22.8,22.8,1,22.8,22.8
BA,Živinice,2019,so2,72.7,72.7,72.7,1,72.7,72.7
BD,Dhaka,2015,pm25,6.4,6.4,6.4,1,6.4,6.4
BD,Dhaka,2019,pm25,48.0,48.0,48.0,1,48.0,48.0
BE,Antwerpen,2018,no2,20.0,20.0,27.65,2,28.5,11.5
BE,Antwerpen,2018,pm10,38.4,38.4,38.4,1,38.4,38.4
BE,Antwerpen,2018,pm25,19.0,19.0,19.0,1,19.0,19.0
BE,Antwerpen,2018,so2,5.5,5.5,5.5,1,5.5,5.5
BE,Antwerpen,2019,co,0.19,0.19,0.19,1,0.19,0.19
BE,Antwerpen,2019,no2,44.026315789473685,47.5,63.599999999999966,19,78.0,3.5
BE,Antwerpen,2019,o3,12.5,13.75,19.049999999999997,4,19.5,3.0
BE,Antwerpen,2019,pm10,18.93846153846154,17.2,31.199999999999967,13,44.7,10.0
BE,Antwerpen,2019,pm25,7.769230769230769,7.5,10.2,13,10.5,6.0
BE,Antwerpen,2019,so2,0.9,0.75,1.7749999999999995,10,2.0,0.0
BE,Brabant wallon,2019,co,0.16,0.16,0.16,1,0.16,0.16
BE,Brabant wallon,2019,no2,14.0,14.0,14.0,1,14.0,14.0
BE,Brabant wallon,2019,o3,39.0,39.0,39.0,1,39.0,39.0
BE,Brabant wallon,2019,pm10,8.042,8.042,8.042,1,8.042,8.042
BE,Brabant wallon,2019,pm25,2.6573515,2.6573515,2.6573515,1,2.6573515,2.6573515
BE,Brabant wallon,2019,so2,1.0,1.0,1.0,1,1.0,1.0
BE,Brussels,2017,co,10.0,10.0,10.0,1,10.0,10.0
BE,Brussels,2017,no2,8.5,8.5,11.65,2,12.0,5.0
BE,Brussels,2017,o3,48.75,48.75,49.425,2,49.5,48.0
BE,Brussels,2017,pm10,12.75,12.75,14.325,2,14.5,11.0
BE,Brussels,2017,pm25,5.45,5.45,5.45,1,5.45,5.45
BE,Brussels,2017,so2,3.0,3.0,3.9,2,4.0,2.0
BE,Brussels-Capital Region,2019,co,0.35428571428571426,0.175,1.0614999999999992,7,1.375,0.12
BE,Brussels-Capital Region,2019,no2,25.90909090909091,27.0,45.5,11,46.0,3.5
BE,Brussels-Capital Region,2019,o3,78.0,76.0,99.125,6,103.5,62.5
BE,Brussels-Capital Region,2019,pm10,29.833333333333332,23.5,49.0,6,51.5,19.0
BE,Brussels-Capital Region,2019,pm25,13.09,12.45,19.11,5,19.9,7.25
BE,Brussels-Capital Region,2019,so2,24.2,23.5,27.599999999999998,5,28.5,22.0
BE,Flanders,2017,no2,31.3,44.5,48.8,5,49.5,4.0
BE,Flanders,2017,o3,26.0,24.25,51.875,4,53.0,2.5
BE,Flanders,2017,pm10,27.7,30.7,39.1,5,39.2,13.2
BE,Flanders,2017,pm25,19.2,24.5,29.799999999999997,5,31.0,5.5
BE,Flanders,2017,so2,2.5,1.75,6.424999999999997,8,8.0,0.0
BE,Hainaut,2019,co,0.21875,0.21000000000000002,0.28099999999999997,4,0.29,0.165
BE,Hainaut,2019,no2,32.1,33.5,44.599999999999994,5,47.0,14.5
BE,Hainaut,2019,o3,12.0,9.5,22.099999999999998,3,23.5,3.0
BE,Hainaut,2019,pm10,17.327714285714286,14.542,36.39199999999998,7,44.042,6.042
BE,Hainaut,2019,pm25,8.134301371428572,5.4626184,18.55386449999999,7,22.761765,3.5924406
BE,Hainaut,2019,so2,1.0,1.0,1.9,3,2.0,0.0
BE,Liege,2019,co,0.22,0.22,0.2605,2,0.265,0.175
BE,Liege,2019,no2,21.8,18.0,38.5,5,41.0,4.0
BE,Liege,2019,o3,29.625,33.25,39.599999999999994,4,40.5,11.5
BE,Liege,2019,pm10,17.61342857142857,10.542,48.64199999999997,7,63.042,6.542
BE,Liege,2019,pm25,7.6634622142857145,2.6573515,27.477046099999985,7,34.917923,0.319629
BE,Liege,2019,so2,2.0,1.0,5.399999999999999,4,6.0,0.0
BE,Limburg,2019,no2,24.875,17.75,51.749999999999986,4,57.0,7.0
BE,Limburg,2019,o3,29.666666666666668,23.5,48.25,3,51.0,14.5
BE,Limburg,2019,pm10,28.200000000000003,28.200000000000003,37.65,2,38.7,17.7
BE,Limburg,2019,pm25,16.75,16.75,24.175,2,25.0,8.5
BE,Luxembourg,2019,co,0.14500000000000002,0.14500000000000002,0.1495,2,0.15,0.14
BE,Luxembourg,2019,no2,6.0,5.0,10.249999999999998,4,11.0,3.0
BE,Luxembourg,2019,o3,62.625,59.0,90.94999999999999,4,95.0,37.5
BE,Luxembourg,2019,pm10,10.542,8.542,18.816999999999997,4,20.542,4.542
BE,Luxembourg,2019,pm25,4.410643525,2.8911238,9.951046139999997,4,11.073153,0.7871735
BE,Luxembourg,2019,so2,0.5,0.5,0.95,2,1.0,0.0
BE,Namur,2019,no2,5.666666666666667,6.0,6.0,3,6.0,5.0
BE,Namur,2019,o3,29.833333333333332,35.0,38.6,3,39.0,15.5
BE,Namur,2019,pm10,9.708666666666668,7.042,16.492,3,17.542,4.542
BE,Namur,2019,pm25,7.176948366666667,7.3327966,12.80306716,3,13.410875,0.7871735
BE,Namur,2019,so2,0.5,0.5,0.95,2,1.0,0.0
BE,Oost-Vlaanderen,2019,co,0.195,0.195,0.2085,2,0.21,0.18
BE,Oost-Vlaanderen,2019,no2,36.57142857142857,29.75,72.77499999999999,14,77.0,10.5
BE,Oost-Vlaanderen,2019,o3,24.625,24.75,32.3,4,33.5,15.5
BE,Oost-Vlaanderen,2019,pm10,23.60234375,22.95,37.11999999999999,8,43.7,15.7
BE,Oost-Vlaanderen,2019,pm25,10.5625,10.25,17.374999999999996,8,20.0,6.5
BE,Oost-Vlaanderen,2019,so2,0.9,1.0,1.4,5,1.5,0.0
BE,Vlaams-Brabant,2019,co,0.235,0.235,0.235,1,0.235,0.235
BE,Vlaams-Brabant,2019,no2,35.55555555555556,31.0,63.5,9,66.5,12.5
BE,Vlaams-Brabant,2019,o3,54.75,54.75,68.025,2,69.5,40.0
BE,Vlaams-Brabant,2019,pm10,17.366666666666664,18.7,19.599999999999998,3,19.7,13.7
BE,Vlaams-Brabant,2019,pm25,6.75,6.75,8.274999999999999,4,8.5,5.0
BE,Vlaams-Brabant,2019,so2,1.25,1.25,1.475,2,1.5,1.0
BE,Wallonia,2016,so2,0.75,0.75,0.975,2,1.0,0.5
BE,Wallonia,2017,co,11.125,11.0,12.35,4,12.5,10.0
BE,Wallonia,2017,no2,15.3125,16.0,26.325,8,26.5,4.5
BE,Wallonia,2017,o3,40.25,40.25,51.25,6,53.5,30.5
BE,Wallonia,2017,pm10,12.171000000000001,12.521,16.320999999999998,10,16.771,7.771
BE,Wallonia,2017,pm25,3.2802,3.1365,6.537749999999995,10,8.925,0.719
BE,Wallonia,2017,so2,0.5,0.0,1.4,5,1.5,0.0
BE,West-Vlaanderen,2019,no2,18.833333333333332,19.25,25.0,6,26.5,12.5
BE,West-Vlaanderen,2019,o3,43.75,42.25,53.0,4,54.5,36.0
BE,West-Vlaanderen,2019,pm10,22.075,21.7,24.349999999999998,8,24.7,20.2
BE,West-Vlaanderen,2019,pm25,10.785714285714286,10.5,12.2,7,12.5,10.0
BE,West-Vlaanderen,2019,so2,0.0,0.0,0.0,1,0.0,0.0
BR,Americana,2017,o3,102.0,102.0,102.0,1,102.0,102.0
BR,Americana,2017,pm10,16.0,16.0,16.0,1,16.0,16.0
BR,Araraquara,2017,no2,7.0,7.0,7.0,1,7.0,7.0
BR,Araraquara,2017,o3,138.0,138.0,138.0,1,138.0,138.0
BR,Araraquara,2017,pm10,24.0,24.0,24.0,1,24.0,24.0
BR,Araçatuba,2017,o3,96.0,96.0,96.0,1,96.0,96.0
BR,Araçatuba,2017,pm10,39.0,39.0,39.0,1,39.0,39.0
BR,Bauru,2017,no2,9.0,9.0,9.0,1,9.0,9.0
BR,Bauru,2017,o3,66.0,66.0,66.0,1,66.0,66.0
BR,Bauru,2017,pm10,26.0,26.0,26.0,1,26.0,26.0
BR,Campinas,2017,co,0.6000000000000001,0.6000000000000001,0.78,2,0.8,0.4
BR,Campinas,2017,no2,15.5,15.5,16.85,2,17.0,14.0
BR,Campinas,2017,o3,66.0,66.0,122.69999999999999,2,129.0,3.0
BR,Campinas,2017,pm10,35.0,35.0,35.0,2,35.0,35.0
