country,city,season,pollutant,seasonal_avg
BE,Namur,spring,pm10,9.708666666666668
BE,Namur,spring,pm25,7.176948366666667
BE,Namur,spring,so2,0.5
BE,Oost-Vlaanderen,spring,co,0.195
BE,Oost-Vlaanderen,spring,no2,36.57142857142857
BE,Oost-Vlaanderen,spring,o3,24.625
BE,Oost-Vlaanderen,spring,pm10,23.60234375
BE,Oost-Vlaanderen,spring,pm25,10.5625
BE,Oost-Vlaanderen,spring,so2,0.9
BE,Vlaams-Brabant,spring,co,0.235
BE,Vlaams-Brabant,spring,no2,35.55555555555556
BE,Vlaams-Brabant,spring,o3,54.75
BE,Vlaams-Brabant,spring,pm10,17.366666666666664
BE,Vlaams-Brabant,spring,pm25,6.75
BE,Vlaams-Brabant,spring,so2,1.25
BE,Wallonia,summer,co,11.125
BE,Wallonia,summer,no2,15.3125
BE,Wallonia,summer,o3,40.25
BE,Wallonia,summer,pm10,12.171000000000001
BE,Wallonia,summer,pm25,3.2802
BE,Wallonia,summer,so2,0.375
BE,Wallonia,winter,so2,0.8333333333333334
BE,West-Vlaanderen,spring,no2,18.833333333333332
BE,West-Vlaanderen,spring,o3,43.75
BE,West-Vlaanderen,spring,pm10,22.075
BE,West-Vlaanderen,spring,pm25,10.785714285714286
BE,West-Vlaanderen,spring,so2,0.0
BR,Americana,autumn,o3,102.0
BR,Americana,autumn,pm10,16.0
BR,Araraquara,autumn,no2,7.0
BR,Araraquara,autumn,o3,138.0
BR,Araraquara,autumn,pm10,24.0
BR,Araçatuba,autumn,o3,96.0
BR,Araçatuba,autumn,pm10,39.0
BR,Bauru,autumn,no2,9.0
BR,Bauru,autumn,o3,66.0
BR,Bauru,autumn,pm10,26.0
BR,Campinas,autumn,co,0.6000000000000001
BR,Campinas,autumn,no2,15.5
BR,Campinas,autumn,o3,66.0
BR,Campinas,autumn,pm10,35.0
BR,Campinas,autumn,pm25,30.0
BR,Catanduva,autumn,no2,6.0
BR,Catanduva,autumn,o3,115.0
BR,Catanduva,autumn,pm10,81.0
BR,Cerqueira César,autumn,co,0.9
BR,Cerqueira César,autumn,no2,92.0
BR,Cerqueira César,autumn,pm10,45.0
BR,Cerqueira César,autumn,so2,1.0
BR,Cubatão,autumn,no2,61.333333333333336
BR,Cubatão,autumn,o3,62.0
BR,Cubatão,autumn,pm10,39.0
BR,Cubatão,autumn,so2,11.333333333333334
BR,Diadema,summer,o3,54.0
BR,Diadema,summer,pm10,60.0
BR,Guarulhos,autumn,co,0.8
BR,Guarulhos,autumn,no2,70.5
BR,Guarulhos,autumn,o3,73.5
BR,Guarulhos,autumn,pm10,73.0
BR,Guarulhos,autumn,pm25,40.0
BR,Guarulhos,autumn,so2,5.0
BR,Jacareí,autumn,no2,28.0
BR,Jacareí,autumn,o3,77.0
BR,Jacareí,autumn,pm10,76.0
BR,Jaú,autumn,no2,16.0
BR,Jaú,autumn,o3,65.0
