country,city,year,avg_bc,avg_co,avg_no2,avg_o3,avg_pm10,avg_pm25,avg_so2,pollutant_span
CL,Padre Las Casas II,2019,,318.49,,,41.0,35.0,,283.49
CL,Parque O'Higgins,2017,,,,,,,0.0,0.0
CL,Parque O'Higgins,2019,,1854.58,214.32,8.45,159.0,49.0,,1846.1299999999999
CL,Puchuncaví,2016,,222.1,,,,,,0.0
CL,Puchuncaví,2017,,0.0,0.0,2.67,0.0,0.0,80.49,80.49
CL,Puchuncaví,2019,,,49.55,22.26,,,18.75,30.799999999999997
CL,Pudahuel,2017,,,,,,,0.0,0.0
CL,Pudahuel,2019,,858.6,177.66,21.1,188.0,61.0,,837.5
CL,Puente Alto,2019,,384.42,55.65,31.21,136.0,17.0,27.04,367.42
CL,Puerto Montt,2019,,,,,,7.0,,0.0
CL,Punta Arenas,2017,,0.0,0.0,0.0,0.0,,0.0,0.0
CL,Punta Arenas,2019,,,,,,4.43,,0.0
CL,Punteras,2017,,0.0,,0.0,,,,0.0
CL,Punteras,2019,,,15.22,,25.0,31.0,0.69,30.31
CL,Puren,2017,,0.0,0.0,0.0,,,0.0,0.0
CL,Puren,2019,,,,,140.0,115.5,,24.5
CL,QUILICURA ,2017,,0.0,0.0,0.0,,,0.0,0.0
CL,QUILICURA ,2019,,,,,130.0,45.0,,85.0
CL,Quilicura,2016,,777.9,66.27,4.46,111.95,30.52,2.34,775.56
CL,Quillón,2016,,,,,14.6,,,0.0
CL,Quillón,2017,,0.0,0.0,0.0,,0.0,0.0,0.0
CL,Quilpue,2017,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Quintero,2017,,0.0,0.0,0.0,0.0,0.0,,0.0
CL,Quintero,2019,,439.47,28.13,24.83,26.83,,113.065,414.64000000000004
CL,Rancagua I,2017,,,0.0,0.0,,,,0.0
CL,Rancagua I,2019,,1265.18,,,92.0,33.0,6.82,1258.3600000000001
CL,Rancagua II,2017,,0.0,0.0,0.0,,,0.0,0.0
CL,Rancagua II,2019,,,,,36.75,34.0,,2.75
CL,Rengo,2017,,0.0,0.0,0.0,,,0.0,0.0
CL,Rengo,2019,,,,,43.0,24.0,,19.0
CL,Romeral,2017,,0.0,0.0,0.0,0.0,0.0,,0.0
CL,Romeral,2019,,,,,,,8.0,0.0
CL,Ránquil,2017,,0.0,0.0,0.0,0.0,,0.0,0.0
CL,San Fernando,2017,,0.0,,,,,,0.0
CL,San Fernando,2018,,,21.0,,,,7.0,14.0
CL,San Fernando,2019,,,,15.11,34.78,22.0,,19.67
CL,Santa Margarita,2017,,0.0,0.0,0.0,0.0,0.0,,0.0
CL,Santa Margarita,2019,,,,,,,6.0,0.0
CL,Santiago,2016,,,,,38.0,28.0,,10.0
CL,Sierra Gorda ,2017,,0.0,0.0,0.0,,,0.0,0.0
CL,Sierra Gorda ,2019,,,,,49.0,6.0,,43.0
CL,Talagante,2019,,563.59,57.15,9.57,127.0,49.0,10.51,554.02
CL,Talca,2019,,903.82,25.4,24.53,120.0,106.0,1.79,902.0300000000001
CL,Talcahuano,2019,,,,,59.87,,3.15,56.72
CL,Temuco,2017,,,,,0.0,0.0,,0.0
CL,Temuco,2019,,189.56,,,27.0,18.5,,171.06
CL,Tocopilla,2018,,,,,,17.24,,0.0
CL,U.C. Maule,2017,,0.0,0.0,0.0,,,0.0,0.0
CL,U.C. Maule,2019,,,,,120.0,90.0,,30.0
CL,Universidad de Talca,2017,,0.0,0.0,0.0,,,0.0,0.0
CL,Universidad de Talca,2019,,,,,110.0,87.0,,23.0
CL,Valdivia,2017,,,0.0,2.94,,,,2.94
CL,Valdivia,2019,,118.35,,,12.0,11.0,0.98,117.36999999999999
CL,Valle Alegre,2017,,0.0,,,0.0,0.0,,0.0
CL,Valle Alegre,2019,,,14.09,13.2,,,9.47,4.619999999999999
CL,Valparaiso,2017,,0.0,0.0,,0.0,,0.0,0.0
CL,Valparaiso,2019,,,,0.031,,10.16,,10.129
CL,Ventanas,2017,,0.0,,,,,,0.0
CL,Ventanas,2019,,,20.35,22.08,65.44,32.17,25.98,45.089999999999996
CL,Vialidad,2019,,,,,,39.0,,0.0
CL,Viña del Mar,2017,,0.0,0.0,0.0,,,0.0,0.0
CL,Viña del Mar,2019,,,,,44.46,20.0,,24.46
CN,Anqing,2018,,619.0,23.5,58.0,54.0,43.5,5.0,614.0
CN,Beijing,2015,,,,,,173.0,,0.0
CN,Beijing,2019,,,,,,46.0,,0.0
CN,Bengbu,2018,,560.0,57.0,46.0,47.0,35.0,17.0,543.0
CN,Bozhou,2018,,466.0,26.0,58.0,66.0,30.0,12.0,454.0
CN,Chengdu,2019,,,,,,-9999.0,,0.0
CN,Fuyang,2018,,529.3333333333334,19.0,67.0,63.0,41.666666666666664,9.666666666666666,519.6666666666667
CN,Guangzhou,2019,,,,,,32.0,,0.0
CN,Hefei,2018,,636.0,63.5,23.0,80.0,42.0,11.5,624.5
CN,Huaibei,2018,,447.0,20.0,84.0,60.0,43.0,10.0,437.0
CN,Huainan,2018,,662.0,27.0,59.0,73.0,49.0,13.0,649.0
CN,Huangshan,2018,,710.5,16.5,23.0,33.0,23.0,9.5,701.0
CN,Ma'anshan,2018,,2489.0,40.0,189.0,80.0,28.0,53.0,2461.0
CN,Shanghai,2019,,,,,,68.0,,0.0
CN,Shenyang,2019,,,,,,40.0,,0.0
CN,Suzhou,2018,,497.0,30.0,65.0,64.0,39.0,17.0,480.0
CN,Tongling,2018,,512.0,29.0,46.0,47.0,31.0,10.0,502.0
CN,Wuhu,2018,,801.0,41.0,41.0,59.0,35.0,13.0,788.0
CN,Xuancheng,2018,,371.0,49.0,56.0,58.0,30.0,16.0,355.0
CN,七台河市,2019,,450.0,17.5,85.5,29.0,20.5,2.5,447.5
CN,三亚市,2019,,550.0,11.5,101.0,23.0,12.0,2.5,547.5
CN,三明市,2019,,875.0,28.25,101.0,45.5,20.5,3.0,872.0
CN,三门峡市,2019,,500.0,24.0,170.0,35.0,15.0,5.0,495.0
CN,上海市,2019,,725.0,51.5,329.0,133.5,64.75,7.625,717.375
CN,上饶市,2019,,200.0,33.0,163.0,64.5,33.5,14.5,185.5
CN,东莞市,2019,,780.0,36.4,88.4,39.6,34.6,8.8,771.2
CN,东营市,2019,,800.0,118.0,292.0,136.0,61.0,13.0,787.0
CN,中卫市,2019,,500.0,13.666666666666666,161.66666666666666,50.333333333333336,17.333333333333332,8.333333333333334,491.6666666666667
CN,中山市,2019,,666.6666666666666,25.0,87.66666666666667,36.0,26.666666666666668,2.0,664.6666666666666
CN,临夏州,2019,,400.0,42.0,134.0,45.0,31.0,5.0,395.0
CN,临安市,2019,,700.0,20.0,189.0,57.5,19.0,13.0,687.0
CN,临汾市,2019,,1080.0,66.2,244.6,84.8,34.0,12.2,1067.8
CN,临沂市,2019,,900.0,38.333333333333336,219.33333333333334,102.0,44.0,20.333333333333332,879.6666666666666
CN,丹东市,2019,,1300.0,27.5,232.25,92.5,52.75,22.25,1277.75
CN,丽水市,2019,,433.3333333333333,15.0,177.66666666666666,67.33333333333333,25.666666666666668,6.666666666666667,426.66666666666663
CN,丽江市,2019,,833.3333333333334,25.666666666666668,153.0,31.666666666666668,17.0,6.333333333333333,827.0
CN,义乌市,2019,,600.0,43.0,151.5,79.5,31.5,8.5,591.5
CN,乌兰察布市,2019,,500.0,30.0,182.0,36.0,21.0,14.0,486.0
CN,乌海市,2019,,850.0,81.0,178.0,97.0,25.5,25.0,825.0
CN,乌鲁木齐市,2019,,460.0,23.6,94.6,21.0,14.0,4.6,455.4
CN,乐山市,2019,,733.3333333333334,36.0,166.0,65.66666666666667,41.666666666666664,5.666666666666667,727.6666666666667
CN,九江市,2018,,1000.0,61.0,65.0,118.0,88.0,68.0,939.0
CN,九江市,2019,,685.7142857142857,40.142857142857146,172.57142857142858,81.14285714285714,43.714285714285715,16.571428571428573,669.1428571428571
CN,乳山市,2019,,1250.0,34.0,252.0,108.5,62.5,6.0,1244.0
CN,云浮市,2019,,850.0,22.0,56.5,44.0,31.0,9.0,841.0
CN,五家渠市,2019,,400.0,8.0,98.0,9.0,5.0,5.0,395.0
CN,亳州市,2019,,700.0,17.0,182.0,78.0,21.0,7.0,693.0
CN,伊春市,2019,,500.0,16.333333333333332,64.0,28.333333333333332,12.666666666666666,4.0,496.0
CN,伊犁哈萨克州,2019,,800.0,18.0,110.0,11.0,8.0,6.0,794.0
CN,佛山市,2019,,866.6666666666666,48.0,87.33333333333333,21.0,15.333333333333334,4.166666666666667,862.5
CN,佳木斯市,2019,,375.0,13.0,79.0,18.0,9.25,3.5,371.5
CN,保定市,2019,,580.0,38.8,290.6,91.8,39.8,15.6,564.4
CN,信阳市,2019,,525.0,19.75,195.25,62.5,40.0,6.0,519.0
CN,克州,2019,,400.0,12.0,124.0,99.0,15.0,7.0,393.0
CN,克拉玛依市,2019,,650.0,18.75,113.5,38.5,8.25,6.0,644.0
CN,六安市,2019,,533.3333333333334,27.0,132.66666666666666,72.33333333333333,30.666666666666668,6.0,527.3333333333334
CN,六盘水市,2019,,525.0,12.25,119.5,52.25,29.25,8.25,516.75
CN,兰州市,2019,,580.0,29.6,170.2,87.0,27.6,9.6,570.4
CN,兴安盟,2019,,433.3333333333333,26.666666666666668,133.0,46.0,23.333333333333332,5.0,428.3333333333333
CN,内江市,2019,,533.3333333333334,39.0,160.33333333333334,74.0,49.333333333333336,8.666666666666666,524.6666666666667
CN,凉山州,2019,,800.0,14.0,171.0,54.0,30.0,10.0,790.0
CN,包头市,2019,,550.0,36.75,152.0,63.25,23.0,9.25,540.75
CN,北京市,2019,,930.0,47.3,289.1,89.3,35.7,4.2,925.8
CN,北海市,2019,,775.0,18.25,154.0,65.0,33.0,12.5,762.5
CN,十堰市,2019,,733.3333333333334,34.333333333333336,169.66666666666666,36.333333333333336,23.333333333333332,8.333333333333334,725.0
CN,南京市,2019,,925.0,107.75,214.875,77.75,39.0,17.125,907.875
CN,南充市,2019,,666.6666666666666,33.333333333333336,153.33333333333334,81.0,41.666666666666664,5.0,661.6666666666666
CN,南宁市,2019,,785.7142857142857,49.142857142857146,171.14285714285714,110.85714285714286,48.57142857142857,8.428571428571429,777.2857142857142
CN,南平市,2019,,550.0,8.0,149.25,43.25,22.75,4.75,545.25
CN,南昌市,2019,,825.0,64.5,199.125,101.0,45.0,9.625,815.375
